Reaction_ID,RAS
ETHP,4.3333
ETOHMO,4
ETOHtx,NaN
EX_10fthf[e],NaN
EX_10fthf5glu[e],NaN
EX_10fthf6glu[e],NaN
EX_10fthf7glu[e],NaN
EX_11_cis_retfa[e],NaN
EX_13_cis_retnglc[e],NaN
EX_1glyc_hs[e],NaN
EX_2425dhvitd2[e],NaN
EX_2425dhvitd3[e],NaN
EX_24nph[e],NaN
EX_25hvitd2[e],NaN
EX_25hvitd3[e],NaN
EX_2hb[e],NaN
EX_2mcit[e],NaN
EX_34dhoxpeg[e],NaN
EX_34dhphe[e],NaN
EX_35cgmp[e],NaN
EX_3aib[e],NaN
EX_3aib_D[e],NaN
EX_3mlda[e],NaN
EX_4hdebrisoquine[e],NaN
EX_4hphac[e],NaN
EX_4mptnl[e],NaN
EX_4mtolbutamide[e],NaN
EX_4nph[e],NaN
EX_4nphsf[e],NaN
EX_4pyrdx[e],NaN
EX_5adtststerone[e],NaN
EX_5adtststeroneglc[e],NaN
EX_5adtststerones[e],NaN
EX_5dhf[e],NaN
EX_5fthf[e],NaN
EX_5homeprazole[e],NaN
EX_5htrp[e],NaN
EX_5mthf[e],NaN
EX_5thf[e],NaN
EX_6dhf[e],NaN
EX_6htststerone[e],NaN
EX_6thf[e],NaN
EX_7dhf[e],NaN
EX_7thf[e],NaN
EX_9_cis_retfa[e],NaN
EX_abt[e],NaN
EX_acetone[e],NaN
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],NaN
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],NaN
EX_ach[e],NaN
EX_acn13acngalgbside_hs[e],NaN
EX_acn23acngalgbside_hs[e],NaN
EX_acnacngal14acglcgalgluside_hs[e],NaN
EX_acnacngalgbside_hs[e],NaN
EX_acngalacglcgal14acglcgalgluside_hs[e],NaN
EX_adp[e],NaN
EX_adprbp[e],NaN
EX_adrn[e],NaN
EX_adrnl[e],NaN
EX_aflatoxin[e],NaN
EX_ahandrostanglc[e],NaN
EX_ak2lgchol_hs[e],NaN
EX_ala_B[e],NaN
EX_ala_D[e],NaN
EX_aldstrn[e],NaN
EX_amp[e],NaN
EX_andrstrn[e],NaN
EX_andrstrnglc[e],NaN
EX_antipyrene[e],NaN
EX_apnnox[e],NaN
EX_appnn[e],NaN
EX_aprgstrn[e],NaN
EX_aqcobal[e],NaN
EX_arach[e],NaN
EX_arachd[e],NaN
EX_ascb_L[e],NaN
EX_asp_D[e],NaN
EX_atp[e],NaN
EX_avite1[e],NaN
EX_avite2[e],NaN
EX_bhb[e],NaN
EX_bildglcur[e],NaN
EX_bilglcur[e],NaN
EX_bilirub[e],NaN
EX_biocyt[e],NaN
EX_bvite[e],NaN
EX_camp[e],NaN
EX_caro[e],NaN
EX_carveol[e],NaN
EX_chol[e],NaN
EX_cholate[e],NaN
EX_chsterol[e],NaN
EX_chtn[e],NaN
EX_clpnd[e],NaN
EX_cmp[e],NaN
EX_co[e],NaN
EX_coumarin[e],NaN
EX_creat[e],NaN
EX_crmp_hs[e],NaN
EX_crn[e],NaN
EX_crtsl[e],NaN
EX_crtstrn[e],NaN
EX_crvnc[e],NaN
EX_cspg_a[e],NaN
EX_cspg_b[e],NaN
EX_cspg_c[e],NaN
EX_cspg_d[e],NaN
EX_cspg_e[e],NaN
EX_cyan[e],NaN
EX_dag_hs[e],NaN
EX_dcsptn1[e],NaN
EX_debrisoquine[e],NaN
EX_dgchol[e],NaN
EX_dhdascb[e],NaN
EX_dheas[e],NaN
EX_dhf[e],NaN
EX_digalsgalside_hs[e],NaN
EX_dlnlcg[e],NaN
EX_dmantipyrine[e],NaN
EX_dmhptcrn[e],NaN
EX_dopa[e],NaN
EX_dopasf[e],NaN
EX_eaflatoxin[e],NaN
EX_ebastine[e],NaN
EX_ebastineoh[e],NaN
EX_eicostet[e],NaN
EX_elaid[e],NaN
EX_estradiol[e],NaN
EX_estradiolglc[e],NaN
EX_estriolglc[e],NaN
EX_estroneglc[e],NaN
EX_estrones[e],NaN
EX_fuc13galacglcgal14acglcgalgluside_hs[e],NaN
EX_fuc14galacglcgalgluside_hs[e],NaN
EX_fucacgalfucgalacglcgalgluside_hs[e],NaN
